@relation twit_classification

@attribute 1person numeric
@attribute 2person numeric
@attribute 3person numeric
@attribute coord_conj numeric
@attribute past-tense numeric
@attribute future-tense numeric
@attribute commas numeric
@attribute colons-semicolons numeric
@attribute dashes numeric
@attribute paranthesis numeric
@attribute ellipses numeric
@attribute common-nouns numeric
@attribute proper-nouns numeric
@attribute adverbs numeric
@attribute wh-words numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute average-len-sent numeric
@attribute average-len-tokens numeric
@attribute number-sentences numeric
@attribute emoticons numeric
@attribute multipleexclaimation numeric
@attribute hashtags numeric
@attribute mentions numeric
@attribute numbers numeric
@attribute class {Popstars, News}

@data
4,2,0,0,1,0,0,0,1,0,0,4,1,4,0,1,1,6.0,4.12,5,0,1,0,0,0,Popstars
0,1,0,1,0,0,0,1,0,0,0,5,3,1,0,0,3,12.5,4.19047619048,2,0,0,0,1,1,Popstars
0,0,2,1,0,0,0,0,1,0,0,3,1,1,0,0,0,7.5,4.84615384615,2,0,0,0,0,0,Popstars
0,1,0,0,0,0,0,0,1,0,0,4,3,0,0,0,1,5.25,4.125,4,0,2,0,0,1,Popstars
2,0,0,2,2,0,0,0,1,0,0,7,4,2,0,1,1,8.0,3.96153846154,4,0,1,0,0,0,Popstars
2,2,0,0,0,1,3,1,1,0,0,6,2,5,0,1,1,33.0,4.08333333333,1,0,0,0,1,1,Popstars
2,2,1,2,3,0,2,1,1,0,0,9,1,2,0,2,1,17.0,3.75,2,0,0,0,1,0,Popstars
0,0,0,0,0,0,1,0,0,1,0,2,4,0,0,0,0,16.0,4.45454545455,1,0,0,0,0,1,Popstars
0,0,0,0,2,0,0,0,0,0,0,2,4,0,0,0,0,16.0,4.86666666667,1,0,1,0,0,0,Popstars
1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,7.5,3.75,2,0,1,0,0,0,Popstars
4,2,0,0,0,1,1,1,1,0,0,8,2,3,0,2,1,7.4,3.69230769231,5,0,1,0,1,1,Popstars
0,0,1,0,1,0,0,0,1,0,0,9,4,1,0,2,1,5.4,4.95238095238,5,0,4,0,2,0,Popstars
2,3,0,0,0,0,0,0,1,0,0,10,3,1,0,0,9,9.66666666667,4.65217391304,3,0,3,0,2,1,Popstars
1,1,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,9.5,5.4375,2,0,1,0,3,1,Popstars
1,1,0,0,1,0,0,1,1,0,0,8,1,0,1,0,1,13.0,4.72727272727,2,1,1,0,2,0,Popstars
1,5,0,0,1,0,1,0,2,0,0,6,4,1,0,2,1,5.8,4.09523809524,5,0,5,0,1,0,Popstars
0,1,0,1,1,0,1,0,1,0,0,6,2,1,0,0,0,8.66666666667,4.38095238095,3,0,1,0,0,0,Popstars
1,1,1,0,1,0,0,0,2,0,1,5,1,0,0,0,0,8.66666666667,4.09523809524,3,0,1,0,0,1,Popstars
0,1,0,0,0,0,1,0,0,0,1,4,1,1,1,0,0,7.0,5.07142857143,3,0,1,0,0,0,Popstars
0,1,1,1,0,0,2,0,0,0,0,5,0,2,0,0,0,11.0,4.625,2,0,1,0,0,1,Popstars
0,4,1,0,1,0,1,1,1,0,0,5,2,1,0,1,3,13.0,4.19047619048,2,0,1,0,1,0,Popstars
3,0,0,0,2,1,0,0,0,0,0,5,2,1,1,0,2,12.5,4.75,2,0,2,0,1,2,Popstars
1,0,0,1,0,0,0,0,1,0,1,5,2,0,0,0,1,4.66666666667,4.36363636364,3,0,0,0,0,0,Popstars
1,2,1,1,2,0,0,0,1,0,0,5,2,1,0,0,1,5.8,4.22727272727,5,1,4,0,1,1,Popstars
0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,4.66666666667,4.0,3,0,1,1,0,1,Popstars
0,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,4.66666666667,8.3,3,0,2,0,5,1,Popstars
0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,3.0,6.5,2,0,1,0,0,0,Popstars
0,1,0,0,1,1,0,0,1,0,0,4,1,3,0,2,0,8.0,4.95,3,1,1,1,1,0,Popstars
1,2,1,0,2,0,0,0,0,0,0,8,1,2,0,3,1,8.33333333333,4.18181818182,3,0,2,0,1,0,Popstars
0,0,0,2,1,0,5,0,1,0,1,5,7,1,0,0,0,14.5,4.2,2,0,0,0,1,1,Popstars
0,0,0,0,0,0,1,0,0,1,0,2,4,0,0,0,0,17.0,4.36363636364,1,0,0,0,0,1,Popstars
0,1,0,0,0,0,0,0,1,0,1,4,1,1,0,0,0,4.66666666667,4.18181818182,3,0,0,0,1,0,Popstars
2,0,1,0,1,0,1,0,1,0,0,5,1,2,0,1,0,9.0,4.28571428571,3,0,2,1,0,1,Popstars
0,0,0,0,0,0,1,0,1,0,0,2,4,1,0,0,0,8.0,5.25,2,0,0,0,0,0,Popstars
1,1,0,1,0,0,0,0,1,0,0,2,2,0,0,0,1,6.33333333333,3.30769230769,3,0,1,0,1,1,Popstars
0,0,0,0,0,1,0,0,1,0,1,5,2,1,1,0,1,7.66666666667,4.55555555556,3,0,1,0,0,2,Popstars
0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,16.0,3.58333333333,1,0,0,0,0,1,Popstars
2,0,0,0,0,0,0,0,1,0,0,5,1,2,0,0,1,8.66666666667,4.86956521739,3,0,1,0,2,0,Popstars
0,0,1,0,2,0,1,0,1,0,0,4,2,3,0,0,0,9.0,4.82608695652,3,0,0,0,1,0,Popstars
0,2,0,0,2,0,0,0,1,0,0,9,3,1,0,2,1,13.5,5.15,2,0,1,0,2,1,Popstars
1,1,0,1,0,0,0,0,0,0,0,14,2,1,0,1,10,6.0,4.54166666667,5,0,3,0,1,1,Popstars
0,0,2,1,3,0,1,0,0,0,0,4,3,2,0,0,0,10.0,4.26923076923,3,0,0,0,0,0,Popstars
0,0,1,0,1,0,0,1,1,0,0,8,2,1,0,1,3,10.5,5.5,2,1,0,0,2,1,Popstars
0,1,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,9.0,4.2,2,0,2,0,0,0,Popstars
0,0,0,1,0,0,0,1,0,0,0,4,1,1,0,0,0,8.5,5.46666666667,2,0,1,0,0,0,Popstars
1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,5.0,4.375,2,0,1,0,0,0,Popstars
1,2,0,0,0,0,0,0,1,0,0,5,4,1,0,0,0,6.5,4.2,4,0,2,0,0,0,Popstars
0,0,0,0,0,0,0,1,0,0,0,6,4,1,1,0,1,4.8,4.70588235294,5,0,2,0,0,0,Popstars
1,3,0,0,0,0,0,1,1,0,0,7,1,0,0,0,12,12.0,4.2,2,0,2,0,1,0,Popstars
0,0,0,0,0,0,1,1,2,0,0,6,7,1,0,0,1,15.0,4.04761904762,2,0,0,0,0,1,Popstars
1,2,0,0,2,0,1,1,1,0,0,6,3,2,0,1,1,8.0,4.125,4,1,1,0,1,1,Popstars
2,1,0,0,2,0,0,1,1,0,0,6,2,2,1,2,12,14.0,3.68181818182,2,1,1,0,2,0,Popstars
0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,7.0,4.72727272727,2,0,0,0,0,0,Popstars
1,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0,1,6.0,4.46666666667,3,0,1,0,0,0,Popstars
0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,0,0,5.0,4.2,4,0,1,0,0,0,Popstars
2,1,0,0,1,0,0,0,1,0,0,4,1,2,0,0,0,5.5,4.66666666667,4,0,2,0,0,0,Popstars
