@relation tweet_feets

@attribute proper-nouns numeric
@attribute colons-semicolons numeric
@attribute 3person numeric
@attribute commas numeric
@attribute coord_conj numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute average-len-sent numeric
@attribute 2person numeric
@attribute number-sentences numeric
@attribute wh-words numeric
@attribute paranthesis numeric
@attribute past-tense numeric
@attribute ellipses numeric
@attribute common-nouns numeric
@attribute adverbs numeric
@attribute future-tense numeric
@attribute average-len-tokens numeric
@attribute 1person numeric
@attribute dashes numeric
@attribute class {Popstarts, News}

@data
0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,10,3,1,News
0,0,0,1,1,0,0,0,1,0,0,7,3,0,0,0,2,16,4,1,News
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,7,5,1,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9,5,1,News
0,0,0,0,0,0,1,1,0,0,0,5,1,1,0,0,1,14,4,1,News
0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,11,4,1,News
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,9,5,1,News
0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,9,5,1,News
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,6,1,News
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,10,4,1,News
0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,8,4,1,News
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,8,4,1,News
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,7,5,1,News
0,0,0,0,1,0,0,0,0,0,0,3,5,1,0,0,0,5,5,3,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,6,6,1,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,6,6,1,News
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6,6,1,News
0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,8,4,1,News
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,3,1,News
0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,1,9,3,1,News
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,7,1,News
0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,8,4,1,News
0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,9,4,1,News
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,6,1,News
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,6,4,1,News
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,7,5,1,News
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,7,1,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9,5,1,News
0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,9,4,1,News
0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,8,4,1,News
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,7,4,1,News
0,0,1,0,1,0,0,0,0,0,0,5,1,2,0,0,1,4,3,7,News
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,8,4,1,News
0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,2,4,5,News
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,10,4,1,News
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8,3,1,News
0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,10,4,1,News
0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,1,12,4,1,News
0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,6,5,3,News
0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,8,4,1,News
0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,10,4,1,News
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7,4,1,News
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,5,6,1,News
1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,11,3,1,News
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,2,7,News
0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,7,6,1,News
0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,11,4,1,News
0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,10,4,1,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,12,3,1,News
0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,7,4,1,News
0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,1,7,4,1,News
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,8,5,1,News
0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,9,5,1,News
0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,1,9,4,1,News
0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,1,8,4,1,News
0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,0,11,3,1,News
0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,10,3,1,News
0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,9,3,1,News
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,6,6,1,News
0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,8,5,1,News
