@relation twit_classification

@attribute 1person numeric
@attribute 2person numeric
@attribute 3person numeric
@attribute coord_conj numeric
@attribute past-tense numeric
@attribute future-tense numeric
@attribute commas numeric
@attribute colons-semicolons numeric
@attribute dashes numeric
@attribute paranthesis numeric
@attribute ellipses numeric
@attribute common-nouns numeric
@attribute proper-nouns numeric
@attribute adverbs numeric
@attribute wh-words numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute average-len-sent numeric
@attribute average-len-tokens numeric
@attribute number-sentences numeric
@attribute emoticons numeric
@attribute multipleexclaimation numeric
@attribute hashtags numeric
@attribute mentions numeric
@attribute numbers numeric
@attribute class {Popstars, News}

@data
0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6.0,5.2,1,0,1,0,0,0,Popstars
1,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,5.5,4.5,2,0,1,0,1,0,Popstars
2,1,0,0,2,0,0,1,0,0,0,4,1,4,1,1,0,16.0,3.81481481481,2,0,2,0,2,0,Popstars
0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3.66666666667,5.71428571429,3,0,0,0,0,0,Popstars
1,1,0,1,0,1,1,0,1,0,0,4,2,1,0,0,0,6.66666666667,5.125,3,0,0,0,0,0,Popstars
2,1,2,0,2,0,2,0,2,0,0,4,5,1,0,0,0,13.0,3.84210526316,2,0,0,0,0,1,Popstars
2,1,0,0,0,0,0,0,0,0,0,8,2,0,0,0,2,12.5,3.78260869565,2,0,2,0,0,0,Popstars
1,4,0,0,1,1,1,0,0,0,0,5,1,3,2,3,0,15.5,3.92857142857,2,0,0,0,1,0,Popstars
1,0,1,1,0,1,3,0,1,0,0,4,3,1,0,1,0,26.0,3.61904761905,1,0,0,0,0,0,Popstars
1,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,5,18.0,6.0625,1,0,0,0,1,0,Popstars
2,0,2,0,1,0,0,0,0,0,0,8,1,0,0,0,4,12.5,4.18181818182,2,0,1,0,0,0,Popstars
4,0,1,2,1,0,1,0,0,0,0,1,1,1,0,1,0,11.5,3.66666666667,2,0,0,0,0,0,Popstars
1,1,0,0,0,0,2,0,1,0,0,3,3,0,0,0,1,20.0,4.76470588235,1,0,0,0,0,0,Popstars
0,3,0,0,1,0,0,0,0,0,0,5,0,3,1,1,0,8.0,4.09523809524,3,0,1,0,1,0,Popstars
2,0,1,0,0,0,1,0,0,0,0,8,0,1,1,0,1,9.66666666667,4.44,3,0,0,0,0,1,Popstars
0,0,0,1,2,0,2,0,0,0,0,8,4,2,1,0,0,9.33333333333,4.73913043478,3,0,0,0,0,1,Popstars
2,1,0,0,1,0,1,0,0,0,0,5,1,1,0,2,0,12.0,3.55,2,0,0,0,0,0,Popstars
0,0,1,0,0,0,0,0,0,0,0,8,1,1,0,0,0,15.0,4.19230769231,2,0,0,0,0,1,Popstars
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,15.0,1,0,0,1,0,0,Popstars
1,1,0,0,1,0,0,0,0,0,0,2,3,1,0,0,1,8.0,3.47368421053,3,0,2,0,0,2,Popstars
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,4.0,1,0,1,0,1,0,Popstars
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,4.0,3.33333333333,2,0,2,0,0,0,Popstars
1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,11.0,4.42857142857,1,0,0,0,1,1,Popstars
1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4.5,3.0,2,0,1,0,0,0,Popstars
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2.5,4.75,2,0,1,0,0,0,Popstars
0,2,0,0,1,0,0,1,0,0,0,9,2,1,0,0,1,21.0,4.16666666667,1,0,0,1,2,1,Popstars
2,1,1,0,0,0,0,0,0,0,0,3,3,1,0,1,2,5.25,2.92857142857,4,0,3,0,0,2,Popstars
0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,1,15.0,4.85714285714,1,0,0,1,0,0,Popstars
0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,9.0,3.88888888889,1,0,0,0,0,0,Popstars
0,0,2,2,0,0,0,1,0,0,0,7,1,0,0,0,1,11.0,4.77777777778,2,0,0,1,3,0,Popstars
0,0,0,1,1,0,0,1,0,0,0,12,0,0,0,1,4,10.0,4.73913043478,3,0,1,0,2,1,Popstars
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3.5,6.4,2,0,2,0,1,0,Popstars
0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5.0,6.0,1,0,0,0,1,0,Popstars
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.0,3.42857142857,1,0,1,0,1,1,Popstars
0,0,0,0,0,0,1,0,1,0,0,5,1,1,0,0,1,6.66666666667,5.07692307692,3,0,0,0,0,2,Popstars
4,1,0,1,2,0,1,0,0,0,0,4,1,1,0,1,1,14.5,4.16666666667,2,0,1,0,0,1,Popstars
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.33333333333,5.85714285714,3,0,0,0,0,0,Popstars
0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,5.0,5.625,2,0,2,0,1,0,Popstars
0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,16.0,4.42857142857,1,0,0,0,0,0,Popstars
